,User,Rating,Movie
0,712664,5.0,3
1,603277,3.0,3
2,1650301,2.0,3
3,2312349,4.0,3
4,1977959,4.0,3
5,1333,4.0,3
6,870391,2.0,3
7,1478381,4.0,3
8,402377,4.0,3
9,2554745,4.0,3
10,2596383,3.0,3
11,1673185,3.0,3
12,786312,3.0,3
13,1197233,2.0,3
14,1130826,3.0,3
15,311641,1.0,3
16,1733406,4.0,3
17,1033433,2.0,3
18,1045221,1.0,3
19,2025577,3.0,3
20,1023101,3.0,3
21,1511683,1.0,3
22,1407746,3.0,3
23,199769,4.0,3
24,1134816,4.0,3
25,581199,4.0,3
26,1929487,3.0,3
27,727242,1.0,3
28,883478,1.0,3
29,478176,4.0,3
30,1788346,1.0,3
31,1272379,1.0,3
32,2170930,1.0,3
33,1314869,2.0,3
34,164845,1.0,3
35,636262,1.0,3
36,701615,3.0,3
37,2237185,4.0,3
38,1532433,4.0,3
39,187322,4.0,3
40,2391686,3.0,3
41,1819462,1.0,3
42,2439493,1.0,3
43,1367949,2.0,3
44,1386457,3.0,3
45,1806991,5.0,3
46,238740,3.0,3
47,1945838,4.0,3
48,50123,3.0,3
49,1486636,3.0,3
50,2523426,5.0,3
51,565510,3.0,3
52,2264426,5.0,3
53,2455107,3.0,3
54,1177340,4.0,3
55,1412189,5.0,3
56,952156,5.0,3
57,1903324,1.0,3
58,818752,4.0,3
59,1517590,4.0,3
60,2600868,3.0,3
61,2415196,3.0,3
62,493009,3.0,3
63,2457095,1.0,3
64,277837,2.0,3
65,1460897,4.0,3
66,1828803,3.0,3
67,596255,1.0,3
68,1446775,4.0,3
69,1105029,3.0,3
70,1611056,3.0,3
71,1868998,5.0,3
72,1764923,4.0,3
73,1215094,4.0,3
74,2589029,3.0,3
75,1614939,3.0,3
76,299857,3.0,3
77,1774181,4.0,3
78,2641668,4.0,3
79,341649,3.0,3
80,595870,1.0,3
81,2335640,3.0,3
82,1830000,5.0,3
83,2012052,5.0,3
84,2552319,3.0,3
85,303270,2.0,3
86,1973244,4.0,3
87,659526,4.0,3
88,1650580,4.0,3
89,1444657,4.0,3
90,213486,4.0,3
91,1684416,4.0,3
92,1664010,5.0,3
93,1096430,2.0,3
94,2424335,3.0,3
95,576990,1.0,3
96,1872926,3.0,3
97,1207990,4.0,3
98,2535238,4.0,3
99,1610234,1.0,3
100,594196,5.0,3
101,1730699,4.0,3
102,877394,4.0,3
103,2490049,3.0,3
104,552356,3.0,3
105,873713,1.0,3
106,25049,4.0,3
107,286684,3.0,3
108,1825647,4.0,3
109,1848868,4.0,3
110,675111,3.0,3
111,1897386,3.0,3
112,396140,4.0,3
113,1508115,4.0,3
114,318409,2.0,3
115,1824009,5.0,3
116,1935793,1.0,3
117,780253,2.0,3
118,2113709,4.0,3
119,916101,2.0,3
120,1739440,4.0,3
121,1663717,3.0,3
122,679042,4.0,3
123,2291306,2.0,3
124,2001318,4.0,3
125,531125,1.0,3
126,2550711,3.0,3
127,1424177,5.0,3
128,1317671,3.0,3
129,2089599,1.0,3
130,2203182,3.0,3
131,2606799,2.0,3
132,1984315,3.0,3
133,759737,1.0,3
134,491513,4.0,3
135,504624,4.0,3
136,789014,1.0,3
137,798296,4.0,3
138,682963,3.0,3
139,545026,4.0,3
140,16272,4.0,3
141,1880039,3.0,3
142,308307,5.0,3
143,1999678,5.0,3
144,393945,2.0,3
145,2385435,5.0,3
